Position_x,Name + ID,Name,Id,Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Name_y,Position_y,Team,ProjPts,ProjOwn,merge_time
WR,Drake London (36784477),Drake London,36784477,WR/FLEX,6500,LAC@ATL 12/01/2024 01:00PM ET,ATL,15.54,Drake London,WR,Falcons,15.85,14.2,2024-11-29 19:13:43
RB,Aaron Jones (36784267),Aaron Jones,36784267,RB/FLEX,6500,ARI@MIN 12/01/2024 01:00PM ET,MIN,15.3,Aaron Jones,RB,Vikings,17.48,13.5,2024-11-29 19:13:43
QB,C.J. Stroud (36784182),C.J. Stroud,36784182,QB,6400,HOU@JAX 12/01/2024 01:00PM ET,HOU,15.35,C.J. Stroud,QB,Texans,20.62,6.2,2024-11-29 19:13:43
WR,DK Metcalf (36784479),DK Metcalf,36784479,WR/FLEX,6400,SEA@NYJ 12/01/2024 01:00PM ET,SEA,15.63,DK Metcalf,WR,Seahawks,14.68,5.9,2024-11-29 19:13:43
WR,Jaxon Smith-Njigba (36784481),Jaxon Smith-Njigba,36784481,WR/FLEX,6300,SEA@NYJ 12/01/2024 01:00PM ET,SEA,16.06,Jaxon Smith-Njigba,WR,Seahawks,14.49,5.4,2024-11-29 19:13:43
RB,Tony Pollard (36784269),Tony Pollard,36784269,RB/FLEX,6300,TEN@WAS 12/01/2024 01:00PM ET,TEN,14.62,Tony Pollard,RB,Titans,14.28,7.9,2024-11-29 19:13:43
RB,Chase Brown (36784271),Chase Brown,36784271,RB/FLEX,6200,PIT@CIN 12/01/2024 01:00PM ET,CIN,14.76,Chase Brown,RB,Bengals,15.8,28.4,2024-11-29 19:13:43
WR,Zay Flowers (36784483),Zay Flowers,36784483,WR/FLEX,6200,PHI@BAL 12/01/2024 04:25PM ET,BAL,14.72,Zay Flowers,WR,Ravens,14.24,10.4,2024-11-29 19:13:43
WR,Ladd McConkey (36784485),Ladd McConkey,36784485,WR/FLEX,6100,LAC@ATL 12/01/2024 01:00PM ET,LAC,13.53,Ladd McConkey,WR,Chargers,13.65,18.8,2024-11-29 19:13:43
QB,Kyler Murray (36784183),Kyler Murray,36784183,QB,6100,ARI@MIN 12/01/2024 01:00PM ET,ARI,18.16,Kyler Murray,QB,Cardinals,18.64,4.1,2024-11-29 19:13:43
RB,Brian Robinson Jr. (36784273),Brian Robinson Jr.,36784273,RB/FLEX,6100,TEN@WAS 12/01/2024 01:00PM ET,WAS,13.62,Brian Robinson Jr.,RB,Commanders,11.0,0.0,2024-11-29 19:13:43
QB,Kirk Cousins (36784184),Kirk Cousins,36784184,QB,6000,LAC@ATL 12/01/2024 01:00PM ET,ATL,15.91,Kirk Cousins,QB,Falcons,16.07,1.2,2024-11-29 19:13:43
RB,Najee Harris (36784275),Najee Harris,36784275,RB/FLEX,6000,PIT@CIN 12/01/2024 01:00PM ET,PIT,13.13,Najee Harris,RB,Steelers,14.72,3.8,2024-11-29 19:13:43
WR,Marvin Harrison Jr. (36784489),Marvin Harrison Jr.,36784489,WR/FLEX,6000,ARI@MIN 12/01/2024 01:00PM ET,ARI,11.96,Marvin Harrison Jr.,WR,Cardinals,12.49,4.2,2024-11-29 19:13:43
WR,Chris Olave (36784487),Chris Olave,36784487,WR/FLEX,6000,LAR@NO 12/01/2024 04:05PM ET,NO,10.09,Chris Olave,WR,Saints,0.0,0.0,2024-11-29 19:13:43
WR,Tank Dell (36784491),Tank Dell,36784491,WR/FLEX,5900,HOU@JAX 12/01/2024 01:00PM ET,HOU,10.16,Tank Dell,WR,Texans,11.86,4.4,2024-11-29 19:13:43
QB,Sam Darnold (36784185),Sam Darnold,36784185,QB,5900,ARI@MIN 12/01/2024 01:00PM ET,MIN,18.56,Sam Darnold,QB,Vikings,21.06,9.1,2024-11-29 19:13:43
RB,Rhamondre Stevenson (36784277),Rhamondre Stevenson,36784277,RB/FLEX,5900,IND@NE 12/01/2024 01:00PM ET,NE,13.33,Rhamondre Stevenson,RB,Patriots,14.17,5.1,2024-11-29 19:13:43
TE,Trey McBride (36784835),Trey McBride,36784835,TE/FLEX,5800,ARI@MIN 12/01/2024 01:00PM ET,ARI,14.77,Trey McBride,TE,Cardinals,14.48,11.8,2024-11-29 19:13:43
RB,Bucky Irving (36784279),Bucky Irving,36784279,RB/FLEX,5800,TB@CAR 12/01/2024 04:05PM ET,TB,13.1,Bucky Irving,RB,Buccaneers,15.5,24.7,2024-11-29 19:13:43
QB,Matthew Stafford (36784186),Matthew Stafford,36784186,QB,5800,LAR@NO 12/01/2024 04:05PM ET,LAR,15.16,Matthew Stafford,QB,Rams,19.25,5.5,2024-11-29 19:13:43
WR,DeVonta Smith (36784493),DeVonta Smith,36784493,WR/FLEX,5800,PHI@BAL 12/01/2024 04:25PM ET,PHI,12.96,DeVonta Smith,WR,Eagles,12.07,0.0,2024-11-29 19:13:43
QB,Russell Wilson (36784187),Russell Wilson,36784187,QB,5700,PIT@CIN 12/01/2024 01:00PM ET,PIT,16.18,Russell Wilson,QB,Steelers,15.21,1.4,2024-11-29 19:13:43
RB,Travis Etienne Jr. (36784281),Travis Etienne Jr.,36784281,RB/FLEX,5700,HOU@JAX 12/01/2024 01:00PM ET,JAX,8.41,Travis Etienne Jr.,RB,Jaguars,8.86,2.5,2024-11-29 19:13:43
